"","rk","Player","totalPL"
"425",425,"Calvin Natt",0.874998499752736
"426",426,"Shandon Anderson",0.874125414836705
"427",427,"Junior Bridgeman",0.873163951319877
"428",428,"Jimmy Butler",0.865010036366496
"429",429,"Mo Williams",0.863209219954724
"430",430,"Giannis Antetokounmpo",0.861836793185984
"431",431,"Larry Hughes",0.860464141166159
"432",432,"Marvin Webster",0.85533906390278
"433",433,"Ervin Johnson",0.854824468588132
"434",434,"Jamal Crawford",0.852744798952141
"435",435,"George Lynch",0.851592404898965
"436",436,"DeAndre Jordan",0.846368604970995
"437",437,"Raja Bell",0.845453818814348
"438",438,"Willie Naulls",0.845448841656675
"439",439,"Mike Miller",0.841348349227864
"440",440,"Lucius Allen",0.840093691022589
"441",441,"Stacey King",0.835474563893101
"442",442,"Fat Lever",0.834859460525525
"443",443,"Gus Johnson*",0.829917957993686
"444",444,"Brad Daugherty",0.828930692805361
"445",445,"Neil Johnston*",0.825087974653079
"446",446,"Ray Felix",0.82477463435631
"447",447,"Arvydas Sabonis*",0.82476972354567
"448",448,"Charlie Scott*",0.82297133652126
"449",449,"Jerry Sloan*",0.81627866017053
"450",450,"Jameer Nelson",0.811916681227071
"451",451,"Walter Dukes",0.80848930047942
"452",452,"Gene Conley",0.806641014134091
"453",453,"Matt Bonner",0.806215126173462
"454",454,"Tyrone Hill",0.804630818523012
"455",455,"Delonte West",0.804401948898296
"456",456,"Lance Stephenson",0.80289687612288
"457",457,"Gene Shue",0.801632123623017
"458",458,"Jack Nichols",0.801280609419228
"459",459,"Antonio Daniels",0.797392124332588
"460",460,"Jeff Malone",0.797210905787503
"461",461,"Greg Ballard",0.796837046279055
"462",462,"Joe Graboski",0.796408435025634
"463",463,"Austin Croshere",0.795553500622588
"464",464,"Vince Boryla",0.795380513211051
"465",465,"Tim Thomas",0.793497780286734
"466",466,"Slick Leonard*",0.793416844766713
"467",467,"Cedric Ceballos",0.791114845398167
"468",468,"Wally Osterkorn",0.790580865231164
"469",469,"Nick Anderson",0.788115037026855
"470",470,"Caron Butler",0.787850009800012
"471",471,"Mickaël Piétrus",0.78356468172973
"472",472,"Joel Anthony",0.782691855925914
"473",473,"Tracy McGrady*",0.778290587838542
"474",474,"Glenn Robinson",0.777243958401349
"475",475,"Quinn Buckner",0.777238403692895
"476",476,"Allen Leavell",0.776516172049341
"477",477,"Brian Grant",0.776356215110029
"478",478,"Wally Walker",0.773429640331409
"479",479,"Danny Schayes",0.773003887348227
"480",480,"Brian Winters",0.771100422062532
"481",481,"Channing Frye",0.76800444175343
"482",482,"Jack Marin",0.766976042764625
"483",483,"Frankie Brian",0.766140516299673
"484",484,"Alex Hannum*",0.761955871715956
"485",485,"Sedale Threatt",0.756853677019984
"486",486,"Mark Price",0.75546124948877
"487",487,"Johnny McCarthy",0.754690239461097
"488",488,"Johnny Moore",0.754336929219788
"489",489,"Pascal Siakam",0.754059213215604
"490",490,"Chris Morris",0.752967705534908
"491",491,"Willie Anderson",0.752441652115298
"492",492,"Jim Chones",0.75207749405322
"493",493,"Al Ferrari",0.748951176233392
"494",494,"Reggie Lewis",0.748342250193863
"495",495,"Travis Best",0.744351993029463
"496",496,"Cliff Levingston",0.742044824614398
