"","Player","psc"
"477","Montrezl Harrell",0.0937989699536504
"478","Sonny Parker",0.0934012294239753
"479","Albert King",0.0919471306191136
"480","Bison Dele",0.0898142231688011
"481","Reggie Jackson",0.0896195272052457
"482","Joe Caldwell",0.0881957209920037
"483","Derek Smith",0.0876911737587129
"484","Michael Brooks",0.0874129210156235
"485","Gheorghe Mure<U+0219>an",0.0819610388494693
"486","Carl Landry",0.0793820136811362
"487","Marvin Webster",0.0770632034869369
"488","Dra<U+009E>en Petrovic*",0.0748608497270317
"489","James Posey",0.0709934685164484
"490","Donovan Mitchell",0.0685091043123469
"491","Dave Robisch",0.0642141639696132
"492","Tom Burleson",0.0573573855650004
"493","Toby Knight",0.0505371382596883
"494","Ron Boone",0.0471227093910462
"495","Mike James",0.0435141125202701
"496","D'Angelo Russell",0.0327177355589124
"497","Domantas Sabonis",0.0304681823357615
"498","Pascal Siakam",0.0221433483587148
"499","Luka Doncic",0.00590361942578931
"500","De'Aaron Fox",0
