"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"68","Stephen Curry","GSW",2018,16,25.5,6.1,5.4,192.411112869038,16,12.0256945543149,0.74617758596896
"69","Magic Johnson*","LAL",1982,12,17.4,11.3,9.3,144.247280313146,12,12.0206066927622,0.745861891250957
"70","Jerry West*","LAL",1969,11,30.9,3.9,7.5,144.030113922779,12,12.0025094935649,0.744738985264213
"71","George Mikan*","MNL",1950,11,31.3,0,3,131.987850081626,11,11.998895461966,0.744514739640651
"72","Karl Malone*","UTA",1998,13,26.3,10.9,3.4,179.934718450702,15,11.9956478967135,0.74431323274311
"73","Paul Arizin*","PHW",1956,7,28.9,8.4,2.9,83.9565122123798,7,11.9937874589114,0.744197795170525
"74","LeBron James","CLE",2018,12,34,9.1,9,191.473952166651,16,11.9671220104157,0.742543241257032
"75","Julius Erving*","PHI",1982,12,22,7.4,4.7,143.428639154477,12,11.9523865962064,0.741628929343216
"76","Bill Walton*","POR",1977,14,18.2,15.2,5.5,167.293748768454,14,11.949553483461,0.741453138646087
"77","Clyde Drexler*","POR",1992,13,26.3,7.4,7,179.130938851308,15,11.9420625900872,0.74098833915287
"78","Larry Bird*","BOS",1985,13,26,9.1,5.8,179.052691612889,15,11.936846107526,0.740664663680555
"79","Gus Williams","SEA",1979,12,26.7,4.1,3.7,143.089644426571,12,11.9241370355476,0.739876083477901
"80","Isiah Thomas*","DET",1990,15,20.5,5.5,8.2,178.811880401742,15,11.9207920267828,0.739668530346235
"81","Cliff Hagan*","STL",1958,8,27.7,10.5,3.4,95.2896457855258,8,11.9112057231907,0.73907371356951
"82","Magic Johnson*","LAL",1985,15,17.5,7.1,15.2,178.362254078717,15,11.8908169385811,0.737808617901885
"83","Isiah Thomas*","DET",1988,14,21.9,4.7,8.7,178.3396932375,15,11.8893128825,0.737715293318371
"84","Kevin Durant","GSW",2019,14,32.3,4.9,4.5,190.033873359322,16,11.8771170849577,0.736958561079079
"85","John Havlicek*","BOS",1974,12,27.1,6.4,6,141.927844402317,12,11.8273203668598,0.733868744126583
"86","Dave Cowens*","BOS",1974,12,20.5,13.3,3.7,141.531543586033,12,11.7942952988361,0.731819584685266
"87","John Havlicek*","BOS",1969,12,25.4,9.9,5.6,141.289494208324,12,11.7741245173604,0.730568015808252
"88","Kareem Abdul-Jabbar*","MIL",1971,12,26.6,17,2.5,140.738284209794,12,11.7281903508162,0.72771786479613
"89","Sam Jones*","BOS",1965,8,28.6,4.6,2.5,93.676543137548,8,11.7095678921935,0.726562367194133
"90","Kobe Bryant","LAL",2000,15,21.1,4.5,4.4,175.633769587347,15,11.7089179724898,0.72652204058236
"91","Shaquille O'Neal*","MIA",2006,16,18.4,9.8,1.7,186.432423864796,16,11.6520264915497,0.722992003484019
"92","Bill Russell*","BOS",1962,8,22.4,26.4,5,93.1496156429564,8,11.6437019553696,0.722475477616579
