"","MP","pred.MP"
"546",849,847.265085334987
"547",2343,2248.69868562742
"548",1891,2282.58092992819
"549",1466,1474.75343957151
"550",71,65.0496653962452
"551",2362,2532.58903056015
"552",2247,2350.60047552647
"553",1657,1868.41387150323
"554",958,825.970230773746
"555",528,548.927150840299
"556",899,860.089235277714
"557",1607,1690.81421457045
"558",2,10.3144822186912
"559",24,3.38684920665939
"560",2164,2060.55230934006
"561",60,111.007827521975
"562",33,17.4415208783613
"563",2705,2664.22511324187
"564",2483,2603.31089931286
"565",2170,2042.73341822197
"566",154,162.218775199651
"567",18,54.8123957327245
"568",2385,2294.97662924963
"569",1937,1698.47068101653
"570",1805,1513.72041376818
"571",1515,1417.6528517565
"572",2655,2537.55086074181
"573",1040,1052.98602321728
"574",1589,1370.16120505751
"575",771,614.925096656178
"576",2727,2805.42972980054
"577",1576,1720.42915785044
"578",2467,2453.45507198895
"579",2006,1971.82715526889
"580",33,47.3037120143311
"581",1877,1861.77391831973
"582",127,128.252658554365
"583",495,478.897431987469
"584",1633,1753.60939423069
"585",2232,2105.57353902428
"586",358,370.927746609437
"587",611,542.18760737458
"588",1825,1778.87226988362
"589",268,282.98800520327
"590",271,251.259425618673
"591",2067,1749.39958285784
"592",30,25.4582481988043
"593",2538,2678.45491864504
"594",151,160.139639102047
"595",1489,1580.12920673061
"596",1881,1775.80977054175
"597",1795,1668.52062297742
"598",1893,1696.16972058959
"599",2298,2214.32825239467
"600",2871,2716.20073073016
"601",1286,1300.13785478288
"602",2200,1912.63585746752
"603",1373,1249.41048542744
"604",1900,1934.25744173245
"605",248,249.071399282214
"606",2316,2459.7223034949
"607",1910,1727.66863807589
"608",271,274.460431451893
"609",2148,1740.53212338986
"610",301,277.787793104837
"611",777,811.79300616923
"612",2496,2477.27366950877
"613",2625,2699.12101985332
"614",461,451.74356239315
"615",1994,1663.51151710394
"616",65,63.4436060215154
"617",2945,2985.25787880158
"618",776,915.181643273329
"619",90,81.0122240411753
"620",2216,2256.86030363133
"621",9,42.0343914370861
"622",1435,1393.34446542856
"623",1571,1477.2955384152
"624",79,69.7791987883188
"625",380,388.871645976261
"626",1015,1112.08424806028
"627",882,881.949086118012
"628",2303,2285.85418870081
"629",2085,2060.7167093353
"630",1337,1629.37885840542
"631",2333,2478.86846822096
"632",2769,2307.31917871625
"633",663,674.197562970664
"634",1288,1264.189613664
"635",121,164.315040584828
"636",1971,1603.44736171528
"637",1643,1726.41347986732
"638",2263,1793.33177424924
"639",62,58.9240189425122
"640",1027,1063.89850945427
"641",1955,2202.64460752789
"642",989,970.030769238431
"643",392,394.094975710867
"644",2891,2847.43015273406
"645",1984,1869.16305318353
"646",30,18.0609435262717
"647",3166,2944.28395446958
"648",1355,1305.57531655895
"649",380,387.195024818543
"650",1424,1373.33324531313
"651",27,55.7291614598735
"652",2519,2545.14566154026
"653",567,610.082886787011
"654",2327,2087.4912898079
"655",68,60.5396441155116
"656",1806,1462.02521593646
"657",802,766.953196283456
"658",1788,1513.88461707165
"659",1422,1436.6273046662
"660",2902,2841.25173289444
"661",771,857.317155881089
"662",34,52.4404624879177
"663",2556,2326.28398673165
"664",1773,1647.45147612072
"665",16,8.06804530083039
"666",297,267.233885228926
"667",1231,1301.59658077672
"668",1783,1876.49441804651
"669",85,104.285585036388
"670",1665,1797.56284868958
"671",2250,2117.45375423547
"672",1584,1546.25493449669
"673",927,834.995874718054
"674",2651,2614.14036203748
"675",2465,2471.28045173555
"676",2018,2091.59413689439
"677",1610,1444.70146835035
"678",608,602.161979625881
"679",529,376.520512585906
"680",11,8.93346839414189
"681",2626,2491.08069633643
"682",97,75.8787722070782
"683",758,691.149349703332
"684",50,67.4973037615794
"685",643,632.825421493651
"686",1016,867.67533673406
"687",384,300.263501521309
"688",182,176.716604394631
"689",1470,1445.96856665174
"690",1424,1321.23821504212
"691",2690,2401.31994396421
"692",2403,2475.46593571079
"693",810,638.311226346434
"694",149,162.68687049997
"695",33,66.4560322474862
"696",63,55.4966251660369
"697",2235,2351.38012013615
"698",1162,929.348301022799
"699",2288,2180.92835117868
"700",2454,2157.1278463883
"701",426,408.28603685815
"702",1796,1430.31614481996
"703",2541,2429.79262693241
"704",2668,2668.68695577961
"705",474,400.517399977587
"706",2123,2104.27824429904
"707",2336,1856.65680028907
"708",2684,2533.04444779582
"709",1044,1324.50947765042
"710",2333,2408.79887029509
"711",1707,1939.38611335641
"712",996,932.50359337446
"713",1414,1573.98240741359
"714",187,188.182597106348
"715",2459,2275.36999208272
"716",1745,1890.42797587573
"717",2468,2167.46925890874
"718",2577,2545.08056174773
"719",1030,860.061506674784
"720",722,610.639388556876
"721",622,557.810427192918
"722",2939,2905.65005887688
"723",494,582.420459316642
"724",2014,2026.49589161804
"725",2344,2495.07831966895
"726",55,68.6977264056615
"727",117,97.5351156169557
"728",1192,1268.93864642262
"729",1440,1201.05083865056
"730",1982,1995.10535784596
"731",1324,1380.23995881348
"732",2672,2441.85340440709
"733",141,158.485418667785
"734",1126,1063.03595294138
"735",514,417.757808852823
"736",937,866.938451257107
"737",1594,1248.5005032937
"738",850,1269.19041703719
"739",374,351.949934453934
"740",2101,2309.19788694051
"741",1120,993.574392761172
"742",2606,2452.8139517105
"743",1976,1909.12019324856
"744",2681,2778.87246757903
"745",783,712.061453599843
"746",112,114.489552118503
"747",2394,2443.74381754964
"748",132,181.502234456879
"749",440,516.621988814215
"750",1980,1811.35724836482
"751",1904,1863.95735235311
"752",651,679.041066619045
"753",2615,2592.76222756821
"754",41,54.5333309469672
"755",1904,1960.97091956512
"756",1085,1168.0278200096
"757",1931,2106.83165374376
"758",507,466.731692128171
"759",2439,2304.16500433195
"760",1508,1562.74408812813
"761",1899,1760.42140117257
"762",1712,1818.35737350243
"763",849,913.064683674305
"764",737,731.247815500253
"765",1065,1015.75851084527
"766",2618,2475.29416718625
"767",723,714.733304300489
"768",2158,1975.5325091274
"769",2265,1902.10196800487
"770",993,1052.90174443826
"771",1320,1575.23986526019
"772",1318,1364.79235723533
"773",955,983.159819043925
"774",2148,2216.4800644843
"775",477,521.205440405302
"776",1889,2114.39399067739
"777",396,245.538804915709
"778",1583,1909.96017879065
"779",1829,1914.29936575625
"780",1254,1139.3751278963
"781",1317,1252.26907820131
"782",2631,2662.15558848794
"783",581,703.19649131384
"784",2480,2346.90590184546
"785",106,86.1212516949532
"786",788,829.866533025903
"787",2018,2122.14333309457
"788",1083,1188.34402388283
"789",695,722.344579232975
"790",2294,1971.05173497179
"791",2174,2075.2085137303
"792",1781,1667.51311885268
"793",2572,2551.39981400159
"794",2345,2285.80512257617
"795",1558,1583.77048189661
"796",32,41.7119267543263
"797",1577,1388.58279381273
"798",1725,1565.29672897617
"799",1721,1682.90452548323
"800",1789,1916.7112338563
"801",626,610.680475357897
"802",471,471.921659843297
"803",2933,2731.88304590077
"804",41,49.2758637981567
"805",2545,2545.09405747647
"806",337,407.46275803706
"807",234,332.714025787929
"808",1356,1466.83567981596
"809",788,843.824058512866
"810",54,44.8039879527587
"811",2396,2341.14776539178
